wavelength,flux
3353.052505,4.660257588e-17
3353.66483,5.452688961e-17
3354.277155,2.347249653e-17
3354.88948,3.963467484e-17
3355.501805,3.061638401e-17
3356.11413,3.788173346e-17
3356.726455,4.979281578e-17
3357.33878,4.168538294e-17
3357.951105,3.210064003e-17
3358.56343,3.81077979e-17
3359.175755,5.567016587e-17
3359.78808,4.707618228e-17
3360.400405,3.480746393e-17
3361.01273,3.166295239e-17
3361.625055,4.167048248e-17
3362.23738,4.387868299e-17
3362.849705,5.956088537e-17
3363.46203,5.272402181e-17
3364.074355,3.864074101e-17
3364.68668,3.9504598e-17
3365.299005,4.732120064e-17
3365.91133,3.784776449e-17
3366.523655,2.548535902e-17
3367.13598,4.463022765e-17
3367.748305,4.64256656e-17
3368.36063,2.336950954e-17
3368.972955,3.55934385e-17
3369.58528,3.913256547e-17
3370.197605,3.943436272e-17
3370.80993,2.526712637e-17
3371.422255,5.065568743e-17
3372.03458,4.408480832e-17
3372.646905,3.850180084e-17
3373.25923,5.950031906e-17
3373.871555,5.301538883e-17
3374.48388,4.18063583e-17
3375.096205,4.443116991e-17
3375.70853,4.377603306e-17
3376.320855,3.983829952e-17
3376.93318,3.617750984e-17
3377.545505,5.554448867e-17
3378.15783,6.688285083e-17
3378.770155,4.732072656e-17
3379.38248,5.963402995e-17
3379.994805,5.197480821e-17
3380.60713,3.74482998e-17
3381.219455,3.149230102e-17
3381.83178,4.69076954e-17
3382.444105,4.465400043e-17
3383.05643,3.861448581e-17
3383.668755,5.607725541e-17
3384.28108,5.202656216e-17
3384.893405,5.164408661e-17
3385.50573,4.387169279e-17
3386.118055,4.624181919e-17
3386.73038,4.188507485e-17
3387.342705,5.243887033e-17
3387.95503,5.771862555e-17
3388.567355,3.762470327e-17
3389.17968,2.48811081e-17
3389.792005,4.977935504e-17
3390.40433,6.140344185e-17
3391.016655,5.768529301e-17
3391.62898,5.209783205e-17
3392.241305,4.230814862e-17
3392.85363,4.51807787e-17
3393.465955,4.032447292e-17
3394.07828,4.108501054e-17
3394.690605,3.294566783e-17
3395.30293,3.863447416e-17
3395.915255,4.677101705e-17
3396.52758,3.306399359e-17
3397.139905,4.875181448e-17
3397.75223,4.175896376e-17
3398.364555,3.886063319e-17
3398.97688,3.533989514e-17
3399.589205,4.163228601e-17
3400.20153,3.135281157e-17
3400.813855,2.159429016e-17
3401.42618,3.077249886e-17
3402.038505,3.592387423e-17
3402.65083,5.046453359e-17
3403.263155,4.453241277e-17
3403.87548,2.963722163e-17
3404.487805,3.1680518e-17
3405.10013,4.379254246e-17
3405.712455,3.274075453e-17
3406.32478,2.905498882e-17
3406.937105,4.11104064e-17
3407.54943,4.647301514e-17
3408.161755,3.862831537e-17
3408.77408,3.514984916e-17
3409.386405,4.76825172e-17
3409.99873,5.061072974e-17
3410.611055,2.98789123e-17
3411.22338,3.270882511e-17
3411.835705,4.714432202e-17
3412.44803,4.701506776e-17
3413.060355,4.244314715e-17
3413.67268,3.25737024e-17
3414.285005,4.115002662e-17
3414.89733,4.740562862e-17
3415.509655,3.69022763e-17
3416.12198,3.455934044e-17
3416.734305,3.575798817e-17
3417.34663,2.957752497e-17
3417.958955,4.15576173e-17
3418.57128,4.503260186e-17
