wavelength,flux,e_flux
2331.0000,1.1591468e-15,1.1591468e-15
2332.6000,1.2036591e-15,1.2036591e-15
2334.2000,1.200219e-15,1.200219e-15
2335.8000,1.2959165e-15,1.2959165e-15
2337.4000,1.2478269e-15,1.2478269e-15
2339.0000,1.3266928e-15,1.3266928e-15
2340.6000,1.3569176e-15,1.3569176e-15
2342.2000,1.3722277e-15,1.3722277e-15
2343.8000,1.3875407e-15,1.3875407e-15
2345.4000,1.4028508e-15,1.4028508e-15
2347.0000,1.4181609e-15,1.4181609e-15
2348.6000,1.4334738e-15,1.4334738e-15
2350.2000,1.4487839e-15,1.4487839e-15
2351.8000,1.4579887e-15,1.4579887e-15
2353.4000,1.43036e-15,1.43036e-15
2355.0000,1.5030503e-15,1.5030503e-15
2356.6000,1.5818091e-15,1.5818091e-15
2358.2000,1.6233237e-15,1.6233237e-15
2359.8000,1.6527645e-15,1.6527645e-15
2361.4000,1.590092e-15,1.590092e-15
2363.0000,1.6518207e-15,1.6518207e-15
2364.6000,1.6639777e-15,1.6639777e-15
2366.2000,1.6604845e-15,1.6604845e-15
2367.8000,1.721455e-15,1.721455e-15
2369.4000,1.7268928e-15,1.7268928e-15
2371.0000,1.6246086e-15,1.6246086e-15
2372.6000,1.6543296e-15,1.6543296e-15
2374.2000,1.6840505e-15,1.6840505e-15
2375.8000,1.7137714e-15,1.7137714e-15
2377.4000,1.7434923e-15,1.7434923e-15
2379.0000,1.7732133e-15,1.7732133e-15
2380.6000,1.8029242e-15,1.8029242e-15
2382.2000,1.8326451e-15,1.8326451e-15
2383.8000,1.8623661e-15,1.8623661e-15
2385.4000,1.892087e-15,1.892087e-15
2387.0000,1.9218079e-15,1.9218079e-15
2388.6000,1.9515289e-15,1.9515289e-15
2390.2000,1.9352651e-15,1.9352651e-15
2391.8000,1.901303e-15,1.901303e-15
2393.4000,2.0263658e-15,2.0263658e-15
2395.0000,2.0727967e-15,2.0727967e-15
2396.6000,2.041986e-15,2.041986e-15
2398.2000,2.0155252e-15,2.0155252e-15
2399.8000,2.0385448e-15,2.0385448e-15
2401.4000,2.0141499e-15,2.0141499e-15
2403.0000,2.0508234e-15,2.0508234e-15
2404.6000,2.1592239e-15,2.1592239e-15
2406.2000,2.0461995e-15,2.0461995e-15
2407.8000,2.0550018e-15,2.0550018e-15
2409.4000,2.1452205e-15,2.1452205e-15
2411.0000,2.0309126e-15,2.0309126e-15
2412.6000,1.9596086e-15,1.9596086e-15
2414.2000,1.9368093e-15,1.9368093e-15
2415.8000,1.9288558e-15,1.9288558e-15
2417.4000,2.1099534e-15,2.1099534e-15
2419.0000,2.0771494e-15,2.0771494e-15
2420.6000,2.0376883e-15,2.0376883e-15
2422.2000,1.8874474e-15,1.8874474e-15
2423.8000,1.9127968e-15,1.9127968e-15
2425.4000,1.8304804e-15,1.8304804e-15
2427.0000,1.8633657e-15,1.8633657e-15
2428.6000,1.8151079e-15,1.8151079e-15
2430.2000,1.8287509e-15,1.8287509e-15
2431.8000,1.9586294e-15,1.9586294e-15
2433.4000,1.9696544e-15,1.9696544e-15
2435.0000,1.928913e-15,1.928913e-15
2436.6000,1.8737267e-15,1.8737267e-15
2438.2000,1.8318569e-15,1.8318569e-15
2439.8000,1.7923951e-15,1.7923951e-15
2441.4000,1.8198273e-15,1.8198273e-15
2443.0000,1.835676e-15,1.835676e-15
2444.6000,1.8710335e-15,1.8710335e-15
2446.2000,1.8317975e-15,1.8317975e-15
2447.8000,1.8702749e-15,1.8702749e-15
2449.4000,1.8622422e-15,1.8622422e-15
2451.0000,1.8491674e-15,1.8491674e-15
2452.6000,1.8767478e-15,1.8767478e-15
2454.2000,1.7901879e-15,1.7901879e-15
2455.8000,1.8011586e-15,1.8011586e-15
2457.4000,1.752695e-15,1.752695e-15
2459.0000,1.8465562e-15,1.8465562e-15
2460.6000,1.6460785e-15,1.6460785e-15
2462.2000,1.7808015e-15,1.7808015e-15
2463.8000,1.8585343e-15,1.8585343e-15
2465.4000,1.8382858e-15,1.8382858e-15
2467.0000,1.7672358e-15,1.7672358e-15
2468.6000,1.7639267e-15,1.7639267e-15
2470.2000,1.658012e-15,1.658012e-15
2471.8000,1.7211764e-15,1.7211764e-15
2473.4000,1.6479221e-15,1.6479221e-15
2475.0000,1.5824234e-15,1.5824234e-15
2476.6000,1.5433517e-15,1.5433517e-15
2478.2000,1.5555042e-15,1.5555042e-15
2479.8000,1.6458308e-15,1.6458308e-15
2481.4000,1.626053e-15,1.626053e-15
2483.0000,1.5631766e-15,1.5631766e-15
2484.6000,1.5156928e-15,1.5156928e-15
2486.2000,1.5376628e-15,1.5376628e-15
2487.8000,1.5674745e-15,1.5674745e-15
2489.4000,1.4279011e-15,1.4279011e-15
2491.0000,1.5044102e-15,1.5044102e-15
2492.6000,1.4577207e-15,1.4577207e-15
2494.2000,1.3197515e-15,1.3197515e-15
2495.8000,1.3446182e-15,1.3446182e-15
2497.4000,1.3938054e-15,1.3938054e-15
2499.0000,1.4515324e-15,1.4515324e-15
2500.6000,1.4344203e-15,1.4344203e-15
2502.2000,1.3711097e-15,1.3711097e-15
2503.8000,1.3800537e-15,1.3800537e-15
2505.4000,1.3669887e-15,1.3669887e-15
2507.0000,1.3647947e-15,1.3647947e-15
2508.6000,1.3462562e-15,1.3462562e-15
2510.2000,1.2888902e-15,1.2888902e-15
2511.8000,1.4412309e-15,1.4412309e-15
2513.4000,1.3634683e-15,1.3634683e-15
2515.0000,1.344352e-15,1.344352e-15
2516.6000,1.3244603e-15,1.3244603e-15
2518.2000,1.2603465e-15,1.2603465e-15
2519.8000,1.3897284e-15,1.3897284e-15
2521.4000,1.2544297e-15,1.2544297e-15
2523.0000,1.349762e-15,1.349762e-15
2524.6000,1.4108743e-15,1.4108743e-15
2526.2000,1.4188989e-15,1.4188989e-15
2527.8000,1.4305686e-15,1.4305686e-15
2529.4000,1.4953334e-15,1.4953334e-15
2531.0000,1.5809756e-15,1.5809756e-15
2532.6000,1.713845e-15,1.713845e-15
2534.2000,1.6746574e-15,1.6746574e-15
2535.8000,1.8596176e-15,1.8596176e-15
2537.4000,1.9236294e-15,1.9236294e-15
2539.0000,1.9632649e-15,1.9632649e-15
2540.6000,2.0382259e-15,2.0382259e-15
2542.2000,2.1416455e-15,2.1416455e-15
2543.8000,2.2278745e-15,2.2278745e-15
2545.4000,2.2364866e-15,2.2364866e-15
2547.0000,2.2709119e-15,2.2709119e-15
2548.6000,2.2115501e-15,2.2115501e-15
2550.2000,2.3054e-15,2.3054e-15
2551.8000,2.4046228e-15,2.4046228e-15
2553.4000,2.2779696e-15,2.2779696e-15
2555.0000,2.3164661e-15,2.3164661e-15
2556.6000,2.2393715e-15,2.2393715e-15
2558.2000,2.4361771e-15,2.4361771e-15
2559.8000,2.3628272e-15,2.3628272e-15
2561.4000,2.3719978e-15,2.3719978e-15
2563.0000,2.3599748e-15,2.3599748e-15
2564.6000,2.3356882e-15,2.3356882e-15
2566.2000,2.3214456e-15,2.3214456e-15
2567.8000,2.3518254e-15,2.3518254e-15
2569.4000,2.3194836e-15,2.3194836e-15
2571.0000,2.3024961e-15,2.3024961e-15
2572.6000,2.4511599e-15,2.4511599e-15
2574.2000,2.4339619e-15,2.4339619e-15
2575.8000,2.4135701e-15,2.4135701e-15
2577.4000,2.28581e-15,2.28581e-15
2579.0000,2.2663949e-15,2.2663949e-15
2580.6000,2.4282227e-15,2.4282227e-15
2582.2000,2.6106513e-15,2.6106513e-15
2583.8000,2.5793171e-15,2.5793171e-15
2585.4000,2.5479963e-15,2.5479963e-15
2587.0000,2.5166621e-15,2.5166621e-15
2588.6000,2.4853413e-15,2.4853413e-15
2590.2000,2.4540072e-15,2.4540072e-15
2591.8000,2.4226864e-15,2.4226864e-15
2593.4000,2.3913522e-15,2.3913522e-15
2595.0000,2.54208e-15,2.54208e-15
2596.6000,2.6442836e-15,2.6442836e-15
2598.2000,2.5496878e-15,2.5496878e-15
2599.8000,2.4550919e-15,2.4550919e-15
2601.4000,2.3605249e-15,2.3605249e-15
2603.0000,2.2659291e-15,2.2659291e-15
2604.6000,2.1713332e-15,2.1713332e-15
2606.2000,2.2220458e-15,2.2220458e-15
2607.8000,2.3404352e-15,2.3404352e-15
2609.4000,2.3854863e-15,2.3854863e-15
2611.0000,2.5165054e-15,2.5165054e-15
2612.6000,2.4955726e-15,2.4955726e-15
2614.2000,2.5032389e-15,2.5032389e-15
2615.8000,2.4740586e-15,2.4740586e-15
2617.4000,2.4333834e-15,2.4333834e-15
2619.0000,2.2259039e-15,2.2259039e-15
2620.6000,2.3995126e-15,2.3995126e-15
2622.2000,2.3571271e-15,2.3571271e-15
2623.8000,2.2818989e-15,2.2818989e-15
2625.4000,2.2311264e-15,2.2311264e-15
2627.0000,2.1732798e-15,2.1732798e-15
2628.6000,2.1686376e-15,2.1686376e-15
2630.2000,2.1766685e-15,2.1766685e-15
2631.8000,2.0205815e-15,2.0205815e-15
2633.4000,1.9737813e-15,1.9737813e-15
2635.0000,1.9752959e-15,1.9752959e-15
2636.6000,1.9173394e-15,1.9173394e-15
2638.2000,1.8991072e-15,1.8991072e-15
2639.8000,1.7758539e-15,1.7758539e-15
2641.4000,1.718161e-15,1.718161e-15
2643.0000,1.749014e-15,1.749014e-15
2644.6000,1.7176194e-15,1.7176194e-15
2646.2000,1.6322217e-15,1.6322217e-15
2647.8000,1.5564055e-15,1.5564055e-15
2649.4000,1.5293018e-15,1.5293018e-15
2651.0000,1.554109e-15,1.554109e-15
2652.6000,1.4824738e-15,1.4824738e-15
2654.2000,1.4417985e-15,1.4417985e-15
2655.8000,1.457661e-15,1.457661e-15
2657.4000,1.4277877e-15,1.4277877e-15
2659.0000,1.4053028e-15,1.4053028e-15
2660.6000,1.3325409e-15,1.3325409e-15
2662.2000,1.3283154e-15,1.3283154e-15
2663.8000,1.3304555e-15,1.3304555e-15
2665.4000,1.3440538e-15,1.3440538e-15
2667.0000,1.1862501e-15,1.1862501e-15
2668.6000,1.1277477e-15,1.1277477e-15
2670.2000,1.0289149e-15,1.0289149e-15
2671.8000,1.1000371e-15,1.1000371e-15
2673.4000,1.1216378e-15,1.1216378e-15
