event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2007on,54426.15644,13.715,0.008,F,i,,,2010AJ....139..519C
SN2007on,54426.15644,13.192,0.007,F,r,,,2010AJ....139..519C
SN2007on,54426.15644,14.714,0.018,F,u,,,2010AJ....139..519C
SN2007on,54426.3552,16.781,0.077,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54426.3568,13.164,0.042,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54426.3585,16.991,0.073,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54426.3603,15.532,0.064,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54426.3613,14.073,0.042,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54426.5567,13.664,0.040,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54427.17866,13.768,0.009,F,B,,,2010AJ....139..519C
SN2007on,54427.17866,13.528,0.007,F,H,,,2010AJ....139..519C
SN2007on,54427.17866,14.056,0.005,F,J,,,2010AJ....139..519C
SN2007on,54427.17866,16.165,0.051,F,K,,,2010AJ....139..519C
SN2007on,54427.17866,13.230,0.009,F,V,,,2010AJ....139..519C
SN2007on,54427.17866,13.663,0.010,F,Y,,,2010AJ....139..519C
SN2007on,54427.17866,13.748,0.015,F,i,,,2010AJ....139..519C
SN2007on,54427.17866,13.244,0.009,F,r,,,2010AJ....139..519C
SN2007on,54427.17866,14.881,0.018,F,u,,,2010AJ....139..519C
SN2007on,54428.21678,13.957,0.007,F,B,,,2010AJ....139..519C
SN2007on,54428.21678,13.499,0.012,F,H,,,2010AJ....139..519C
SN2007on,54428.21678,14.139,0.005,F,J,,,2010AJ....139..519C
SN2007on,54428.21678,16.059,0.001,F,K,,,2010AJ....139..519C
SN2007on,54428.21678,13.328,0.007,F,V,,,2010AJ....139..519C
SN2007on,54428.21678,13.663,0.011,F,Y,,,2010AJ....139..519C
SN2007on,54428.21678,13.596,0.004,F,g,,,2010AJ....139..519C
SN2007on,54428.21678,13.791,0.010,F,i,,,2010AJ....139..519C
SN2007on,54428.21678,13.321,0.005,F,r,,,2010AJ....139..519C
SN2007on,54428.21678,15.104,0.023,F,u,,,2010AJ....139..519C
SN2007on,54428.7200,15.841,0.065,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54428.7210,14.455,0.044,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54428.7218,13.994,0.041,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54428.7241,17.052,0.079,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54428.7257,13.336,0.042,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54428.7272,17.176,0.078,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54429.18392,14.119,0.008,F,B,,,2010AJ....139..519C
SN2007on,54429.18392,13.421,0.008,F,V,,,2010AJ....139..519C
SN2007on,54429.18392,13.722,0.006,F,g,,,2010AJ....139..519C
SN2007on,54429.18392,13.807,0.011,F,i,,,2010AJ....139..519C
SN2007on,54429.18392,13.366,0.006,F,r,,,2010AJ....139..519C
SN2007on,54429.18392,15.299,0.022,F,u,,,2010AJ....139..519C
SN2007on,54430.16787,14.285,0.009,F,B,,,2010AJ....139..519C
SN2007on,54430.16787,13.502,0.009,F,V,,,2010AJ....139..519C
SN2007on,54430.16787,13.857,0.007,F,g,,,2010AJ....139..519C
SN2007on,54430.16787,13.799,0.011,F,i,,,2010AJ....139..519C
SN2007on,54430.16787,13.418,0.006,F,r,,,2010AJ....139..519C
SN2007on,54430.16787,15.520,0.024,F,u,,,2010AJ....139..519C
SN2007on,54430.3941,16.074,0.066,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54430.3950,14.808,0.046,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54430.3955,14.298,0.042,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54430.3966,17.331,0.080,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54430.3981,13.512,0.043,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54430.3989,17.288,0.080,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54431.21043,13.427,0.005,F,H,,,2010AJ....139..519C
SN2007on,54431.21043,14.238,0.008,F,J,,,2010AJ....139..519C
SN2007on,54431.21043,13.514,0.008,F,Y,,,2010AJ....139..519C
SN2007on,54432.16671,13.389,0.011,F,H,,,2010AJ....139..519C
SN2007on,54432.16671,14.239,0.009,F,J,,,2010AJ....139..519C
SN2007on,54432.16671,13.462,0.009,F,Y,,,2010AJ....139..519C
SN2007on,54432.5488,16.314,0.067,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54432.5501,15.122,0.050,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54432.5511,14.637,0.043,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54432.5541,17.502,0.081,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54432.5561,13.703,0.044,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54432.5582,17.547,0.082,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54435.16196,15.001,0.009,F,B,,,2010AJ....139..519C
SN2007on,54435.16196,13.951,0.009,F,V,,,2010AJ....139..519C
SN2007on,54435.16196,14.540,0.007,F,g,,,2010AJ....139..519C
SN2007on,54435.16196,13.752,0.011,F,i,,,2010AJ....139..519C
SN2007on,54435.16196,13.643,0.007,F,r,,,2010AJ....139..519C
SN2007on,54435.16196,16.237,0.026,F,u,,,2010AJ....139..519C
SN2007on,54435.4775,16.481,0.067,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54435.4794,15.446,0.054,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54435.4806,15.009,0.045,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54435.4831,17.654,0.081,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54435.4864,13.928,0.045,F,V,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54435.4884,17.629,0.080,F,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54436.8278,16.528,0.067,F,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54436.8297,15.547,0.056,F,U,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54436.8308,15.168,0.046,F,B,UVOT,Swift,2014Ap&SS.354...89B
SN2007on,54436.8334,17.704,0.082,F,UVW2,UVOT,Swift,2014Ap&SS.354...89B
