event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2010ai,55396.226,19.858,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55397.183,20.260,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55397.227,20.755,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55399.170,20.084,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55399.214,20.426,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55400.169,20.338,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55400.212,20.177,,F,R,,P48,2014MNRAS.444.3258M
SN2010ai,55401.212,20.676,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55505.544,20.4575,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55530.516,20.716,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55530.559,20.067,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55532.459,20.000,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55532.503,20.7594,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55538.467,21.386,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55538.516,21.24,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55539.511,21.25,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55543.510,21.250,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55543.553,21.59,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55554.498,21.282,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55554.542,21.41,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55557.387,19.690,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55557.430,20.860,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55561.445,20.5563,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55561.488,20.628,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55572.349,20.3265,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55573.412,21.02,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55573.456,21.16,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55574.422,21.64,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55574.465,21.61,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55575.492,20.907,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55575.536,21.26,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55576.503,20.817,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55576.547,20.514,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55577.506,21.32,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55577.550,21.51,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55578.518,21.18,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55578.563,21.287,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55579.520,20.81,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55579.566,21.44,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55580.525,21.21,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55580.569,20.828,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55581.422,20.1247,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55581.466,19.946,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55582.420,19.982,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55582.463,20.453,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55583.324,20.3772,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55583.369,20.429,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55583.416,20.623,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55583.459,21.09,,T,R,,P48,2014MNRAS.444.3258M
SN2010ai,55585.441,20.6508,,T,R,,P48,2014MNRAS.444.3258M
