Name,NED Object,Redshift,Same Name?,Disc. Date,,With Redshift,Without Redshift
PS1-10im,PS1-10im,0.51,FALSE,2010-04-02,,2010-04-02,2005-10-11
SDSS-II SN 16098,SDSS-II SN 16098,0.512,FALSE,2006-10-22,,2006-10-22,2005-09-13
SDSS-II SN 14900,SDSS-II SN 14900,0.513,FALSE,2006-09-27,,2006-09-27,2005-10-11
SDSS-II SN 13807,SDSS-II SN 13807,0.513937,FALSE,2006-09-16,,2006-09-16,2005-10-11
SDSS-II SN 16024,SDSS-II SN 16024,0.514,FALSE,2006-10-16,,2006-10-16,2005-10-12
SDSS-II SN 15741,SDSS-II SN 15741,0.515,TRUE,2006-10-03,,2006-10-03,2005-10-05
SNLS-04D1pg,SSTSL2 J022704.15-041031.4,0.515,FALSE,2004-11-13,,2004-11-13,2005-09-27
SDSS-II SN 7663,SDSS-II SN 07663,0.52,TRUE,2005-10-26,,2005-10-26,2005-10-12
SDSS-II SN 15569,SDSS-II SN 15569,0.521,TRUE,2006-10-16,,2006-10-16,2005-10-12
SNLS-04D2gc,COSMOS 0822840,0.5216,FALSE,2004-04-21,,2004-04-21,2005-10-22
SDSS-II SN 18038,SDSS-II SN 18038,0.523,FALSE,2007-09-14,,2007-09-14,2005-09-27
SDSS-II SN 14951,SDSS-II SN 14951,0.525,TRUE,2006-09-22,,2006-09-22,2005-10-20
ESSENCEf123,ESSENCE f123,0.5261,TRUE,2003-12-01,,2003-12-01,2005-10-20
PSc080012,WISEA J221408.36-001006.7,0.5261,FALSE,2010-08-20,,2010-08-20,2005-10-20
SDSS-II SN 20592,SDSS-II SN 20592,0.527,FALSE,2007-10-12,,2007-10-12,2005-10-25
PSc080252,SSTSL2 J022441.60-034700.0,0.527566,FALSE,2010-09-02,,2010-09-02,2005-10-21
SDSS-II SN 21389,SDSS-II SN 21389,0.528,TRUE,2007-11-04,,2007-11-04,2005-10-21
SDSS-II SN 2181,SDSS-II SN 02181,0.528,TRUE,2005-09-13,,2005-09-13,2005-10-21
SDSS-II SN 4779,SDSS-II SN 04779,0.53541,TRUE,2005-09-28,,2005-09-28,2005-10-14
SN2007tf,SN 2007tf,0.536,FALSE,2007-10-06,,2007-10-06,2005-09-21
PSc080034,WISEA J221524.68+003210.6,0.536909,FALSE,2010-08-17,,2010-08-17,2005-10-23
SDSS-II SN 8723,SDSS-II SN 08723,0.537,TRUE,2005-10-26,,2005-10-26,2005-10-21
SDSS-II SN 9194,SDSS-II SN 09194,0.537,TRUE,2005-10-21,,2005-10-21,2005-10-21
SDSS-II SN 14619,SDSS-II SN 14619,0.542,TRUE,2006-09-19,,2006-09-19,2005-10-12
SDSS-II SN 10036,SDSS-II SN 10036,0.55,FALSE,2005-11-03,,2005-11-03,2005-10-20
SDSS-II SN 18182,SDSS-II SN 18182,0.55,TRUE,2007-09-14,,2007-09-14,2005-10-21
SNLS-04D3hn,WISEA J142206.83+521343.5,0.5516,FALSE,2004-05-21,,2004-05-21,2005-10-20
SDSS-II SN 16554,SDSS-II SN 16554,0.553,TRUE,2006-10-29,,2006-10-29,2005-09-28
SDSS-II SN 19078,SDSS-II SN 19078,0.553,FALSE,2007-09-16,,2007-09-16,2005-10-21
SDSS-II SN 21764,SDSS-II SN 21764,0.554,TRUE,2007-11-04,,2007-11-04,2005-10-23
SDSS-II SN 8600,SDSS-II SN 08600,0.554,TRUE,2005-10-26,,2005-10-26,2005-09-03
SDSS-II SN 18973,SDSS-II SN 18973,0.555,TRUE,2007-10-08,,2007-10-08,2005-10-21
SNLS-05D1ee,XMM:[RBO2008] ir 00074601,0.558,FALSE,2005-10-30,,2005-10-30,2005-10-20
SDSS-II SN 8662,SDSS-II SN 08662,0.55837,TRUE,2005-10-20,,2005-10-20,2005-09-03
ESSENCEs354,ESSENCE s354,0.5588,TRUE,2006-11-26,,2006-11-26,2005-10-25
SNLS-03D1gt,SSTSL2 J022455.99-040737.2,0.56,FALSE,2004-01-19,,2004-01-19,2005-10-20
SDSS-II SN 14579,SDSS-II SN 14579,0.562,TRUE,2006-09-16,,2006-09-16,2005-10-25
SDSS-II SN 13787,SDSS-II SN 13787,0.565006,TRUE,2006-09-12,,2006-09-12,2005-10-20
SDSS-II SN 21388,SDSS-II SN 21388,0.56665,TRUE,2007-11-04,,2007-11-04,2005-10-14
SNLS-04D2cw,COSMOS 1582477,0.568,FALSE,2004-03-19,,2004-03-19,2005-10-30
SNLS-03D4gl,[HSP2005] J221444.17-173144.47,0.571,FALSE,2003-11-21,,2003-11-21,2005-09-03
SDSS-II SN 8457,SDSS-II SN 08457,0.572,TRUE,2005-09-28,,2005-09-28,2005-09-23
SDSS-II SN 15455,SDSS-II SN 15455,0.575,TRUE,2006-10-11,,2006-10-11,2005-10-28
SNLS-03D4gf,[AGR2006] J221422.90-174402.4,0.58,FALSE,2003-11-24,,2003-11-24,2005-10-31
SDSS-II SN 14227,SDSS-II SN 14227,0.582,TRUE,2006-09-18,,2006-09-18,2005-10-12
SDSS-II SN 6300,SDSS-II SN 06300,0.583,TRUE,2005-11-13,,2005-11-13,2005-10-26
SNLS-04D1kj,[NSB2006] J022752.66-041049.2,0.585,FALSE,2004-10-09,,2004-10-09,2005-09-21
SDSS-II SN 15003,SDSS-II SN 15003,0.587,FALSE,2006-09-22,,2006-09-22,2005-10-28
SNLS-04D1oh,[NSB2006] J022502.37-041410.5,0.59,FALSE,2004-10-19,,2004-10-19,2005-11-23
SNLS-03D4gg,[AGR2006] J221640.18-180951.8,0.592,FALSE,2003-11-25,,2003-11-25,2005-10-20
SDSS-II SN 16044,SDSS-II SN 16044,0.593,FALSE,2006-10-16,,2006-10-16,2005-10-26
SDSS-II SN 20923,SDSS-II SN 20923,0.595,FALSE,2007-10-12,,2007-10-12,2005-10-26
SDSS-II SN 20920,SDSS-II SN 20920,0.6,FALSE,2007-11-04,,2007-11-04,2005-10-23
SDSS-II SN 6055,SDSS-II SN 06055,0.606,TRUE,2005-09-26,,2005-09-26,2005-09-03
SDSS-II SN 21405,SDSS-II SN 21405,0.612,FALSE,2007-10-21,,2007-10-21,2005-10-27
SNLS-03D1dt,SSTSL2 J022631.18-040308.3,0.612,FALSE,2003-11-28,,2003-11-28,2005-09-15
SDSS-II SN 15324,SDSS-II SN 15324,0.613,TRUE,2006-10-12,,2006-10-12,2005-10-26
PS1-10m,PS1-10m,0.618,FALSE,2010-01-16,,2010-01-16,2005-10-27
SNLS-04D2an,[AGR2006] J100052.33+020228.7,0.62,FALSE,2004-01-20,,2004-01-20,2005-10-20
PSc080295,VVDS 020383031,0.62181,FALSE,2010-09-02,,2010-09-02,2005-11-03
SDSS-II SN 18146,SDSS-II SN 18146,0.622,TRUE,2007-09-05,,2007-09-05,2005-10-27
SDSS-II SN 18307,SDSS-II SN 18307,0.626,FALSE,2007-09-14,,2007-09-14,2005-10-20
SDSS-II SN 20745,SDSS-II SN 20745,0.629459,FALSE,2007-10-20,,2007-10-20,2005-10-20
PSc080735,PS1-10ahl,0.635,FALSE,2010-09-29,,2010-09-29,2005-10-26
ESSENCEs380,ESSENCE s380,0.6355,FALSE,2006-12-17,,2006-12-17,2005-10-01
SNLS-04D1pu,VVDS 020118713,0.639,FALSE,2004-12-11,,2004-12-11,2005-10-27
SNLS-05D4ag,SNLS 05D4ag HOST,0.64,FALSE,2005-07-10,,2005-07-10,2005-09-15
SDSS-II SN 15773,SDSS-II SN 15773,0.645,TRUE,2006-10-13,,2006-10-13,2005-09-03
SNLS-05D3lb,SNLS 05D3lb HOST,0.647,FALSE,2005-06-04,,2005-06-04,2005-11-01
SDSS-II SN 18747,SDSS-II SN 18747,0.649,TRUE,2007-09-15,,2007-09-15,2005-10-30
SDSS-II SN 21494,SDSS-II SN 21494,0.655,TRUE,2007-11-08,,2007-11-08,2005-10-27
SDSS-II SN 15953,SDSS-II SN 15953,0.663,TRUE,2006-11-22,,2006-11-22,2005-10-26
SDSS-II SN 19468,SDSS-II SN 19468,0.669,TRUE,2007-09-30,,2007-09-30,2005-11-03
SDSS-II SN 19549,SDSS-II SN 19549,0.67,TRUE,2007-09-22,,2007-09-22,2005-10-25
SDSS-II SN 16125,SDSS-II SN 16125,0.671,TRUE,2006-10-27,,2006-10-27,2005-10-25
SDSS-II SN 8062,SDSS-II SN 08062,0.685,TRUE,2005-10-21,,2005-10-21,2005-10-26
SDSS-II SN 16104,SDSS-II SN 16104,0.691,FALSE,2006-10-22,,2006-10-22,2005-11-02
SDSS-II SN 1158,SDSS-II SN 01158,0.694,TRUE,2005-09-09,,2005-09-09,2005-10-30
SDSS-II SN 7656,SDSS-II SN 07656,0.697,TRUE,2005-10-21,,2005-10-21,2005-11-01
SDSS-II SN 14141,SDSS-II SN 14141,0.699,TRUE,2006-11-20,,2006-11-20,2005-10-25
SDSS-II SN 1858,SDSS-II SN 01858,0.699,TRUE,2005-10-26,,2005-10-26,2005-10-26
SDSS-II SN 8327,SDSS-II SN 08327,0.7,TRUE,2005-10-23,,2005-10-23,2005-10-30
SDSS-II SN 8850,SDSS-II SN 08850,0.7,TRUE,2005-10-26,,2005-10-26,2005-11-07
SNLS-05D2le,SNLS 05D2le HOST,0.7002,FALSE,2005-12-01,,2005-12-01,2005-10-26
ESSENCEp459,ESSENCE p459,0.702,TRUE,2005-11-24,,2005-11-24,2005-11-11
SNLS-05D1ju,VVDS 020393231,0.707,FALSE,2005-12-26,,2005-12-26,2005-09-03
