Name,Band,Background,Background Error,Systematic Error
PTF10nda,NUV,7.536141946062926e-18,8.805844698248707e-18,1.2100206838496349e-18
PTF10qna,NUV,7.438781562208434e-17,1.0924984574478446e-17,1.1791587356066746e-18
PTF10rbp,NUV,1.4587633216349155e-16,5.3520635445010715e-18,1.0211343251444409e-17
PTF10trp,NUV,2.578384239074899e-16,6.616293202947349e-17,1.1062866215589918e-17
PTF10ujt,NUV,1.3156564169202342e-16,2.0378746982430744e-17,7.897982226078707e-18
PTF10vnu,NUV,7.317149221292873e-17,1.9929942465050037e-17,5.1008226707237414e-18
PTF11dej,NUV,4.756718790335329e-16,2.375764199162501e-17,3.808030146189068e-18
SDSS-II SN 10036,FUV,6.808954820427238e-18,4.9578970202581556e-18,4.766268374299067e-19
SDSS-II SN 10036,NUV,7.469461444281618e-18,6.110701463462384e-18,1.1290021267212695e-18
SDSS-II SN 10066,FUV,1.0270528876566426e-17,2.018857222127888e-17,7.189370213596499e-19
SDSS-II SN 10066,NUV,7.464951313244972e-18,8.312680873643817e-18,1.436153349160898e-18
SDSS-II SN 10113,FUV,2.4687534622455538e-17,3.7900418579778055e-17,1.7281274235718877e-18
SDSS-II SN 10113,NUV,-1.4774077698068956e-18,1.2454948817840715e-17,-1.0341854388648271e-19
SDSS-II SN 10146,FUV,1.6337552200657175e-17,2.4289258166214257e-17,1.1436286540460023e-18
SDSS-II SN 10146,NUV,1.5054774359714365e-17,3.6842200238760043e-19,1.1623913249036458e-18
SDSS-II SN 10450,FUV,2.0748134763679917e-17,5.0879002468658095e-17,9.670027120426186e-18
SDSS-II SN 10450,NUV,1.1251115394048116e-17,2.920132727349692e-17,4.48751766016294e-18
SDSS-II SN 10506,FUV,8.600090931618088e-18,1.50434129916622e-17,6.020063652132662e-19
SDSS-II SN 10506,NUV,-3.999951324691208e-18,8.252030955945096e-18,-2.7999659272838457e-19
SDSS-II SN 10524,FUV,-8.194775433718543e-18,2.2312901331566653e-17,-5.73634280360298e-19
SDSS-II SN 10524,NUV,1.3547815929379862e-17,1.265097339759924e-17,9.483471150565904e-19
SDSS-II SN 10559,FUV,1.1123450333841263e-17,2.2160089807989273e-17,7.786415233688884e-19
