File,SN,Disc. Date,R.A.,Dec.,Category,Total Epochs,Epochs Pre-SN,Epochs Post-SN
SDSS-II_SN_10146-NUV.fits.gz,SDSS-II SN 10146,2005-10-20,1h43m07.008s,1d15m04.824s,pre_post_disc,4,2,2
SDSS-II_SN_10154-FUV.fits.gz,SDSS-II SN 10154,2005-10-30,2h06m46.008s,1d15m01.476s,pre_post_disc,4,3,1
SDSS-II_SN_10154-NUV.fits.gz,SDSS-II SN 10154,2005-10-30,2h06m46.008s,1d15m01.476s,pre_post_disc,4,3,1
SDSS-II_SN_10324-NUV.fits.gz,SDSS-II SN 10324,2005-11-07,22h26m28.228s,0d35m12.44s,post_disc,2,0,2
SDSS-II_SN_10450-FUV.fits.gz,SDSS-II SN 10450,2005-11-02,22h29m06.24s,-1d07m43.212s,pre_post_disc,10,3,7
SDSS-II_SN_10450-NUV.fits.gz,SDSS-II SN 10450,2005-11-02,22h29m06.24s,-1d07m43.212s,pre_post_disc,11,3,8
SDSS-II_SN_10460-FUV.fits.gz,SDSS-II SN 10460,2005-11-13,23h00m06.96s,-1d12m14.004s,post_disc,6,0,6
SDSS-II_SN_10460-NUV.fits.gz,SDSS-II SN 10460,2005-11-13,23h00m06.96s,-1d12m14.004s,post_disc,6,0,6
SDSS-II_SN_10506-FUV.fits.gz,SDSS-II SN 10506,2005-10-26,0h48m06.384s,0d30m00.648s,pre_post_disc,4,1,3
SDSS-II_SN_10506-NUV.fits.gz,SDSS-II SN 10506,2005-10-26,0h48m06.384s,0d30m00.648s,pre_post_disc,4,1,3
SDSS-II_SN_10524-FUV.fits.gz,SDSS-II SN 10524,2005-11-02,3h43m55.944s,0d35m04.7508s,pre_post_disc,2,1,1
SDSS-II_SN_10524-NUV.fits.gz,SDSS-II SN 10524,2005-11-02,3h43m55.944s,0d35m04.7508s,pre_post_disc,2,1,1
SDSS-II_SN_10559-FUV.fits.gz,SDSS-II SN 10559,2005-11-02,23h36m27.968s,-1d13m35.53s,pre_post_disc,5,2,3
SDSS-II_SN_10559-NUV.fits.gz,SDSS-II SN 10559,2005-11-02,23h36m27.968s,-1d13m35.53s,pre_post_disc,5,2,3
SDSS-II_SN_10620-FUV.fits.gz,SDSS-II SN 10620,2005-10-25,23h49m57.12s,-0d25m13.4364s,pre_post_disc,6,1,5
SDSS-II_SN_10620-NUV.fits.gz,SDSS-II SN 10620,2005-10-25,23h49m57.12s,-0d25m13.4364s,pre_post_disc,6,1,5
SDSS-II_SN_11026-FUV.fits.gz,SDSS-II SN 11026,2005-10-21,21h43m13.68s,0d53m27.928s,pre_post_disc,4,2,2
SDSS-II_SN_11026-NUV.fits.gz,SDSS-II SN 11026,2005-10-21,21h43m13.68s,0d53m27.928s,pre_post_disc,4,2,2
SDSS-II_SN_11092-FUV.fits.gz,SDSS-II SN 11092,2005-10-30,20h10m29.622s,1d07m17.93s,post_disc,2,0,2
SDSS-II_SN_11092-NUV.fits.gz,SDSS-II SN 11092,2005-10-30,20h10m29.622s,1d07m17.93s,post_disc,3,0,3
SDSS-II_SN_11098-FUV.fits.gz,SDSS-II SN 11098,2005-11-19,20h38m32.88s,1d12m31.284s,pre_post_disc,7,2,5
SDSS-II_SN_11098-NUV.fits.gz,SDSS-II SN 11098,2005-11-19,20h38m32.88s,1d12m31.284s,pre_post_disc,14,4,10
SDSS-II_SN_11120-FUV.fits.gz,SDSS-II SN 11120,2005-11-12,21h41m49.63s,0d22m13.36s,post_disc,7,0,7
SDSS-II_SN_11120-NUV.fits.gz,SDSS-II SN 11120,2005-11-12,21h41m49.63s,0d22m13.36s,post_disc,7,0,7
SDSS-II_SN_11156-FUV.fits.gz,SDSS-II SN 11156,2005-11-12,1h36m22.512s,-0d52m17.9328s,pre_post_disc,4,2,2
SDSS-II_SN_11156-NUV.fits.gz,SDSS-II SN 11156,2005-11-12,1h36m22.512s,-0d52m17.9328s,pre_post_disc,4,2,2
SDSS-II_SN_11181-FUV.fits.gz,SDSS-II SN 11181,2005-11-19,23h48m05.183s,-0d08m35.74s,pre_post_disc,3,1,2
SDSS-II_SN_11181-NUV.fits.gz,SDSS-II SN 11181,2005-11-19,23h48m05.183s,-0d08m35.74s,pre_post_disc,3,1,2
SDSS-II_SN_11263-FUV.fits.gz,SDSS-II SN 11263,2005-11-19,23h20m09.6s,0d17m25.825s,post_disc,3,0,3
SDSS-II_SN_11263-NUV.fits.gz,SDSS-II SN 11263,2005-11-19,23h20m09.6s,0d17m25.825s,post_disc,3,0,3
SDSS-II_SN_11305-FUV.fits.gz,SDSS-II SN 11305,2005-11-12,1h58m04.656s,-0d34m16.662s,pre_post_disc,4,2,2
SDSS-II_SN_11305-NUV.fits.gz,SDSS-II SN 11305,2005-11-12,1h58m04.656s,-0d34m16.662s,pre_post_disc,4,2,2
SDSS-II_SN_11306-FUV.fits.gz,SDSS-II SN 11306,2005-10-30,3h46m57.235s,-0d31m05.9s,post_disc,2,0,2
SDSS-II_SN_11306-NUV.fits.gz,SDSS-II SN 11306,2005-10-30,3h46m57.235s,-0d31m05.9s,post_disc,6,0,6
SDSS-II_SN_11311-FUV.fits.gz,SDSS-II SN 11311,2005-11-02,3h08m03.731s,0d26m00.36s,post_disc,7,0,7
SDSS-II_SN_11311-NUV.fits.gz,SDSS-II SN 11311,2005-11-02,3h08m03.731s,0d26m00.36s,post_disc,7,0,7
SDSS-II_SN_11314-FUV.fits.gz,SDSS-II SN 11314,2005-11-22,3h08m18.12s,0d57m33.059s,post_disc,5,0,5
SDSS-II_SN_11314-NUV.fits.gz,SDSS-II SN 11314,2005-11-22,3h08m18.12s,0d57m33.059s,post_disc,5,0,5
SDSS-II_SN_11317-FUV.fits.gz,SDSS-II SN 11317,2005-11-10,3h46m01.728s,0d33m43.6s,pre_post_disc,4,1,3
SDSS-II_SN_11317-NUV.fits.gz,SDSS-II SN 11317,2005-11-10,3h46m01.728s,0d33m43.6s,pre_post_disc,4,1,3
SDSS-II_SN_11370-FUV.fits.gz,SDSS-II SN 11370,2005-11-02,0h45m52.104s,-0d42m50.274s,pre_post_disc,6,1,5
SDSS-II_SN_11370-NUV.fits.gz,SDSS-II SN 11370,2005-11-02,0h45m52.104s,-0d42m50.274s,pre_post_disc,6,1,5
SDSS-II_SN_11478-FUV.fits.gz,SDSS-II SN 11478,2005-11-05,3h52m27.288s,-0d48m12.762s,post_disc,3,0,3
SDSS-II_SN_11478-NUV.fits.gz,SDSS-II SN 11478,2005-11-05,3h52m27.288s,-0d48m12.762s,post_disc,6,0,6
SDSS-II_SN_11518-FUV.fits.gz,SDSS-II SN 11518,2005-11-23,0h33m38.3712s,0d32m18.409s,pre_post_disc,6,1,5
SDSS-II_SN_11518-NUV.fits.gz,SDSS-II SN 11518,2005-11-23,0h33m38.3712s,0d32m18.409s,pre_post_disc,6,1,5
SDSS-II_SN_11523-FUV.fits.gz,SDSS-II SN 11523,2005-11-07,0h37m55.5288s,0d36m05.8536s,pre_post_disc,6,2,4
SDSS-II_SN_11523-NUV.fits.gz,SDSS-II SN 11523,2005-11-07,0h37m55.5288s,0d36m05.8536s,pre_post_disc,6,2,4
SDSS-II_SN_11564-FUV.fits.gz,SDSS-II SN 11564,2005-11-02,3h10m24.72s,0d10m46.758s,post_disc,7,0,7
SDSS-II_SN_11564-NUV.fits.gz,SDSS-II SN 11564,2005-11-02,3h10m24.72s,0d10m46.758s,post_disc,7,0,7
SDSS-II_SN_1166-FUV.fits.gz,SDSS-II SN 1166,2005-09-09,0h37m25.35s,0d58m23.8s,pre_post_disc,8,3,5
