File,Disc. Date,R.A.,Dec.,Category,Total Epochs,Epochs Pre-SN,Epochs Post-SN
PSc120655-FUV.fits.gz,2011-01-06,8h41m43.941s,43d54m58.6s,pre_disc,7,7,0
PSc120655-NUV.fits.gz,2011-01-06,8h41m43.941s,43d54m58.6s,pre_disc,8,8,0
PSc120706-FUV.fits.gz,2011-01-15,9h58m43.172s,2d25m59.47s,pre_disc,136,136,0
PSc120706-NUV.fits.gz,2011-01-15,9h58m43.172s,2d25m59.47s,pre_post_disc,180,169,11
PSc130037-FUV.fits.gz,2011-01-25,2h29m12.223s,-4d43m57.29s,pre_disc,2,2,0
PSc130037-NUV.fits.gz,2011-01-25,2h29m12.223s,-4d43m57.29s,pre_disc,25,25,0
PSc130145-FUV.fits.gz,2011-01-15,9h59m49.558s,3d28m44.09s,pre_disc,19,19,0
PSc130145-NUV.fits.gz,2011-01-15,9h59m49.558s,3d28m44.09s,pre_post_disc,37,29,8
PSc130373-FUV.fits.gz,2011-02-04,14h18m20.292s,53d38m39.14s,pre_disc,4,4,0
PSc130373-NUV.fits.gz,2011-02-04,14h18m20.292s,53d38m39.14s,pre_post_disc,18,16,2
PSc130391-FUV.fits.gz,2011-02-02,14h11m41.445s,54d13m17.56s,pre_disc,4,4,0
PSc130391-NUV.fits.gz,2011-02-02,14h11m41.445s,54d13m17.56s,pre_post_disc,18,17,1
PSc130527-FUV.fits.gz,2009-12-21,9h54m54.757s,1d36m21.43s,pre_disc,3,3,0
PSc130527-NUV.fits.gz,2009-12-21,9h54m54.757s,1d36m21.43s,pre_disc,3,3,0
PSc130610-FUV.fits.gz,2011-01-22,8h47m32.47s,44d55m02.04s,pre_disc,9,9,0
PSc130610-NUV.fits.gz,2011-01-22,8h47m32.47s,44d55m02.04s,pre_disc,10,10,0
PSc130621-FUV.fits.gz,2011-01-27,8h42m07.873s,45d15m28.45s,pre_disc,6,6,0
PSc130621-NUV.fits.gz,2011-01-27,8h42m07.873s,45d15m28.45s,pre_disc,6,6,0
PSc130650-FUV.fits.gz,2011-01-24,10h46m44.056s,57d42m50.81s,pre_disc,10,10,0
PSc130650-NUV.fits.gz,2011-01-24,10h46m44.056s,57d42m50.81s,pre_disc,23,23,0
PSc130651-FUV.fits.gz,2011-01-29,10h48m42.927s,57d26m36.42s,pre_disc,26,26,0
PSc130651-NUV.fits.gz,2011-01-29,10h48m42.927s,57d26m36.42s,pre_disc,39,39,0
PSc130684-FUV.fits.gz,2011-01-29,10h40m00.965s,58d37m26.4s,pre_disc,11,11,0
PSc130684-NUV.fits.gz,2011-01-29,10h40m00.965s,58d37m26.4s,pre_disc,25,25,0
PSc130733-FUV.fits.gz,2011-02-02,12h21m41.758s,45d49m23.37s,pre_disc,2,2,0
PSc130733-NUV.fits.gz,2011-02-02,12h21m41.758s,45d49m23.37s,pre_disc,3,3,0
PSc130798-FUV.fits.gz,2011-02-02,12h12m14.638s,47d14m39.26s,pre_disc,9,9,0
PSc130798-NUV.fits.gz,2011-02-02,12h12m14.638s,47d14m39.26s,pre_disc,9,9,0
PSc130880-FUV.fits.gz,2011-01-06,12h26m00.764s,47d57m28.82s,single,1,1,0
PSc130880-NUV.fits.gz,2011-01-06,12h26m00.764s,47d57m28.82s,pre_disc,2,2,0
PSc130997-FUV.fits.gz,2011-02-04,12h26m59.513s,47d39m58.08s,pre_disc,12,12,0
PSc130997-NUV.fits.gz,2011-02-04,12h26m59.513s,47d39m58.08s,pre_disc,15,15,0
PSc131031-FUV.fits.gz,2011-02-10,14h09m41.539s,53d20m58.92s,pre_disc,5,5,0
PSc131031-NUV.fits.gz,2011-02-10,14h09m41.539s,53d20m58.92s,pre_post_disc,19,17,2
PSc131033-FUV.fits.gz,2011-02-04,12h20m02.226s,47d09m05.03s,pre_disc,9,9,0
PSc131033-NUV.fits.gz,2011-02-04,12h20m02.226s,47d09m05.03s,pre_disc,12,12,0
PSc131086-FUV.fits.gz,2011-02-04,10h45m44.993s,57d13m14.77s,pre_disc,16,16,0
PSc131086-NUV.fits.gz,2011-02-04,10h45m44.993s,57d13m14.77s,pre_disc,16,16,0
PSc131091-FUV.fits.gz,2011-02-21,8h49m23.872s,43d45m36.31s,pre_disc,2,2,0
PSc131091-NUV.fits.gz,2011-02-21,8h49m23.872s,43d45m36.31s,pre_disc,3,3,0
PSc140092-FUV.fits.gz,2011-03-09,10h52m35.496s,56d46m43.24s,pre_disc,41,41,0
PSc140092-NUV.fits.gz,2011-03-09,10h52m35.496s,56d46m43.24s,pre_disc,80,80,0
PSc140112-FUV.fits.gz,2011-03-09,9h57m51.728s,1d27m29.13s,pre_disc,21,21,0
PSc140112-NUV.fits.gz,2011-03-09,9h57m51.728s,1d27m29.13s,pre_disc,42,42,0
PSc140122-FUV.fits.gz,2011-03-10,12h17m03.626s,46d18m41.82s,pre_disc,11,11,0
PSc140122-NUV.fits.gz,2011-03-10,12h17m03.626s,46d18m41.82s,pre_disc,11,11,0
PSc140124-FUV.fits.gz,2011-02-21,12h22m51.336s,46d17m26.08s,pre_disc,12,12,0
PSc140124-NUV.fits.gz,2011-02-21,12h22m51.336s,46d17m26.08s,pre_disc,14,14,0
PSc140177-FUV.fits.gz,2011-02-10,10h58m24.605s,57d54m57.06s,pre_disc,25,25,0
PSc140177-NUV.fits.gz,2011-02-10,10h58m24.605s,57d54m57.06s,pre_disc,44,44,0
PSc140210-FUV.fits.gz,2011-03-09,14h15m04.186s,53d27m17.28s,pre_disc,4,4,0
PSc140210-NUV.fits.gz,2011-03-09,14h15m04.186s,53d27m17.28s,pre_post_disc,18,16,2
PSc140214-FUV.fits.gz,2011-03-09,14h14m13.815s,53d42m06.94s,pre_disc,4,4,0
PSc140214-NUV.fits.gz,2011-03-09,14h14m13.815s,53d42m06.94s,pre_post_disc,18,16,2
PSc140221-FUV.fits.gz,2011-03-09,10h43m40.998s,58d26m34.26s,pre_disc,11,11,0
PSc140221-NUV.fits.gz,2011-03-09,10h43m40.998s,58d26m34.26s,pre_disc,25,25,0
PSc140229-FUV.fits.gz,2011-03-12,12h26m44.345s,47d23m28.88s,pre_disc,13,13,0
PSc140229-NUV.fits.gz,2011-03-12,12h26m44.345s,47d23m28.88s,pre_post_disc,17,16,1
PSc140234-FUV.fits.gz,2011-03-09,14h08m46.699s,53d49m25.19s,pre_disc,4,4,0
PSc140234-NUV.fits.gz,2011-03-09,14h08m46.699s,53d49m25.19s,pre_post_disc,18,16,2
PSc140240-FUV.fits.gz,2011-03-13,8h44m35.734s,44d52m24.67s,pre_disc,8,8,0
PSc140240-NUV.fits.gz,2011-03-13,8h44m35.734s,44d52m24.67s,pre_disc,9,9,0
PSc140286-FUV.fits.gz,2011-03-12,8h44m33.84s,45d24m06.88s,pre_disc,9,9,0
PSc140286-NUV.fits.gz,2011-03-12,8h44m33.84s,45d24m06.88s,pre_disc,9,9,0
PSc140361-FUV.fits.gz,2011-03-13,12h26m07.027s,47d31m27.93s,pre_disc,11,11,0
PSc140361-NUV.fits.gz,2011-03-13,12h26m07.027s,47d31m27.93s,pre_disc,11,11,0
PSc140382-FUV.fits.gz,2011-03-25,8h43m50.226s,43d39m19.61s,pre_disc,9,9,0
PSc140382-NUV.fits.gz,2011-03-25,8h43m50.226s,43d39m19.61s,pre_disc,10,10,0
PSc140384-FUV.fits.gz,2011-03-25,10h02m35.981s,1d39m27.21s,pre_disc,60,60,0
PSc140384-NUV.fits.gz,2011-03-25,10h02m35.981s,1d39m27.21s,pre_disc,97,97,0
PSc140396-FUV.fits.gz,2011-03-25,10h49m04.967s,58d12m04.17s,pre_disc,29,29,0
PSc140396-NUV.fits.gz,2011-03-25,10h49m04.967s,58d12m04.17s,pre_disc,53,53,0
PSc150019-FUV.fits.gz,2011-03-25,10h04m22.924s,1d32m49s,pre_disc,6,6,0
PSc150019-NUV.fits.gz,2011-03-25,10h04m22.924s,1d32m49s,pre_disc,7,7,0
PSc150053-FUV.fits.gz,2011-03-25,10h54m02.803s,58d55m56.58s,pre_disc,35,35,0
PSc150053-NUV.fits.gz,2011-03-25,10h54m02.803s,58d55m56.58s,pre_disc,63,63,0
PSc150059-FUV.fits.gz,2011-03-25,10h44m48.558s,59d06m49.44s,pre_disc,14,14,0
PSc150059-NUV.fits.gz,2011-03-25,10h44m48.558s,59d06m49.44s,pre_disc,28,28,0
PSc150145-FUV.fits.gz,2009-05-01,12h28m21.218s,47d17m18.8s,pre_disc,4,4,0
PSc150145-NUV.fits.gz,2009-05-01,12h28m21.218s,47d17m18.8s,pre_post_disc,8,7,1
PSc150170-FUV.fits.gz,2011-04-11,10h43m40.866s,58d24m36.51s,pre_disc,11,11,0
PSc150170-NUV.fits.gz,2011-04-11,10h43m40.866s,58d24m36.51s,pre_disc,25,25,0
PSc150181-FUV.fits.gz,2011-04-02,10h47m46.958s,59d05m16.36s,pre_disc,23,23,0
PSc150181-NUV.fits.gz,2011-04-02,10h47m46.958s,59d05m16.36s,pre_disc,50,50,0
PSc150186-FUV.fits.gz,2011-03-31,12h25m18.697s,46d07m24.43s,pre_disc,3,3,0
PSc150186-NUV.fits.gz,2011-03-31,12h25m18.697s,46d07m24.43s,pre_disc,4,4,0
PSc150196-FUV.fits.gz,2011-03-25,12h23m07.977s,48d15m41.3s,pre_disc,10,10,0
PSc150196-NUV.fits.gz,2011-03-25,12h23m07.977s,48d15m41.3s,pre_disc,10,10,0
PSc150210-FUV.fits.gz,2011-03-31,9h58m16.059s,2d30m57.57s,pre_disc,97,97,0
