File,Category,Total Epochs,Epochs Pre-SN,Epochs Post-SN
CSS131210_043252+304855-FUV.fits.gz,post_disc,4,0,4
CSS131210_043252+304855-NUV.fits.gz,post_disc,4,0,4
CSS131224_020446-000718-FUV.fits.gz,pre_disc,2,2,0
CSS131224_020446-000718-NUV.fits.gz,pre_disc,2,2,0
CSS131225_030144-092044-FUV.fits.gz,pre_disc,5,5,0
CSS131225_030144-092044-NUV.fits.gz,pre_disc,5,5,0
CSS140103_082332+283814-FUV.fits.gz,pre_disc,2,2,0
CSS140103_082332+283814-NUV.fits.gz,pre_disc,3,3,0
CSS140103_130555+112833-FUV.fits.gz,single,1,1,0
CSS140103_130555+112833-NUV.fits.gz,pre_disc,3,nan,nan
CSS140104_002811-041606-FUV.fits.gz,pre_disc,2,nan,nan
CSS140104_002811-041606-NUV.fits.gz,pre_disc,2,nan,nan
CSS140109_095728+274221-FUV.fits.gz,pre_disc,2,2,0
CSS140109_095728+274221-NUV.fits.gz,pre_disc,2,2,0
CSS140123_093027+411345-FUV.fits.gz,pre_disc,2,2,0
CSS140123_093027+411345-NUV.fits.gz,pre_disc,4,4,0
CSS140123_104818+204751-FUV.fits.gz,pre_disc,2,2,0
CSS140123_104818+204751-NUV.fits.gz,pre_disc,4,4,0
CSS140123_111719+361025-FUV.fits.gz,single,1,1,0
CSS140123_111719+361025-NUV.fits.gz,single,1,1,0
CSS140128_110457+300122-FUV.fits.gz,single,1,1,0
CSS140128_110457+300122-NUV.fits.gz,single,1,1,0
CSS140204_092250+292926-FUV.fits.gz,pre_disc,2,2,0
CSS140204_092250+292926-NUV.fits.gz,pre_disc,13,13,0
CSS140305_104323+013442-FUV.fits.gz,pre_disc,4,nan,nan
CSS140305_104323+013442-NUV.fits.gz,pre_disc,8,nan,nan
CSS140424_123226+154840-FUV.fits.gz,pre_disc,2,nan,nan
CSS140424_123226+154840-NUV.fits.gz,pre_disc,2,nan,nan
CSS140426_171938-010130-FUV.fits.gz,single,1,1,0
CSS140426_171938-010130-NUV.fits.gz,pre_disc,3,3,0
CSS140427_222246+192845-FUV.fits.gz,pre_disc,2,2,0
CSS140427_222246+192845-NUV.fits.gz,pre_disc,2,2,0
CSS140509_161445+023534-FUV.fits.gz,single,1,1,0
CSS140509_161445+023534-NUV.fits.gz,single,1,1,0
CSS140628_233025+060302-FUV.fits.gz,pre_disc,2,2,0
CSS140628_233025+060302-NUV.fits.gz,pre_disc,2,2,0
CSS140831_012531+070251-FUV.fits.gz,pre_disc,5,5,0
CSS140831_012531+070251-NUV.fits.gz,pre_disc,5,5,0
CSS140914_010107-101840-FUV.fits.gz,post_disc,2,0,2
CSS140914_010107-101840-NUV.fits.gz,post_disc,2,0,2
CSS140925_011731+054106-FUV.fits.gz,pre_disc,3,3,0
CSS140925_011731+054106-NUV.fits.gz,pre_disc,3,3,0
CSS141117_030348+002415-FUV.fits.gz,pre_disc,5,5,0
CSS141117_030348+002415-NUV.fits.gz,pre_disc,5,5,0
DEM_L71-NUV.fits.gz,unknown,3,nan,nan
DES12C1a-FUV.fits.gz,pre_post_disc,24,23,1
DES12C1a-NUV.fits.gz,pre_post_disc,57,30,27
DES12C1b-FUV.fits.gz,pre_disc,2,2,0
DES12C1b-NUV.fits.gz,pre_disc,5,5,0
DES12S2b-FUV.fits.gz,single,1,1,0
DES12S2b-NUV.fits.gz,pre_disc,2,nan,nan
DES13C1juw-FUV.fits.gz,pre_disc,26,26,0
DES13C1juw-NUV.fits.gz,pre_disc,62,62,0
DES13E1ao-FUV.fits.gz,pre_disc,26,nan,nan
DES13E1ao-NUV.fits.gz,pre_disc,31,nan,nan
DES13E1dcb-FUV.fits.gz,pre_disc,35,35,0
DES13E1dcb-NUV.fits.gz,pre_disc,36,36,0
DES14C1bdv-FUV.fits.gz,pre_post_disc,111,38,73
DES14C1bdv-NUV.fits.gz,pre_post_disc,246,38,208
DES14C1es-FUV.fits.gz,pre_disc,59,59,0
DES14C1es-NUV.fits.gz,pre_disc,125,125,0
DES14C1qty-FUV.fits.gz,pre_disc,76,76,0
DES14C1qty-NUV.fits.gz,pre_disc,193,193,0
DES14C2fkd-FUV.fits.gz,pre_disc,33,nan,nan
DES14C2fkd-NUV.fits.gz,pre_disc,33,nan,nan
DES14C2fkf-FUV.fits.gz,pre_post_disc,39,7,32
DES14C2fkf-NUV.fits.gz,pre_post_disc,69,7,62
DES14C2gwx-FUV.fits.gz,pre_disc,67,nan,nan
DES14C2gwx-NUV.fits.gz,pre_disc,67,nan,nan
DES14C2ikn-FUV.fits.gz,pre_disc,2,2,0
DES14C2ikn-NUV.fits.gz,pre_disc,2,2,0
DES14C2kct-FUV.fits.gz,pre_disc,2,nan,nan
DES14C2kct-NUV.fits.gz,pre_disc,2,nan,nan
DES14C2pw-FUV.fits.gz,pre_disc,23,23,0
DES14C2pw-NUV.fits.gz,pre_disc,23,23,0
DES14C3cxt-FUV.fits.gz,pre_disc,27,27,0
DES14C3cxt-NUV.fits.gz,pre_disc,56,56,0
DES14C3foo-FUV.fits.gz,pre_disc,32,32,0
DES14C3foo-NUV.fits.gz,pre_disc,63,63,0
DES14C3gqv-FUV.fits.gz,pre_disc,34,34,0
DES14C3gqv-NUV.fits.gz,pre_post_disc,64,54,10
DES14C3hud-FUV.fits.gz,pre_disc,27,nan,nan
DES14C3hud-NUV.fits.gz,pre_disc,56,nan,nan
DES14C3nj-FUV.fits.gz,post_disc,86,nan,nan
DES14C3nj-NUV.fits.gz,post_disc,116,nan,nan
DES14C3rap-FUV.fits.gz,post_disc,76,0,76
DES14C3rap-NUV.fits.gz,post_disc,191,0,191
DES14E1anf-FUV.fits.gz,pre_disc,29,29,0
DES14E1anf-NUV.fits.gz,pre_disc,29,29,0
DES14E1tb-NUV.fits.gz,single,1,1,0
DES14E2u-FUV.fits.gz,pre_disc,66,nan,nan
DES14E2u-NUV.fits.gz,pre_disc,73,nan,nan
DES14S1lfk-FUV.fits.gz,unknown,5,nan,nan
DES14S1lfk-NUV.fits.gz,unknown,5,nan,nan
DES14S1rag-FUV.fits.gz,pre_disc,7,nan,nan
DES14S1rag-NUV.fits.gz,pre_disc,7,nan,nan
DES14S2bnq-FUV.fits.gz,single,1,1,0
DES14S2bnq-NUV.fits.gz,pre_disc,4,4,0
DES14S2boa-NUV.fits.gz,single,1,0,1
DES14S2dbi-NUV.fits.gz,single,1,0,1
DES14S2pkz-FUV.fits.gz,pre_disc,2,2,0
DES14S2pkz-NUV.fits.gz,pre_disc,4,4,0
DES14S2pon-NUV.fits.gz,single,1,0,1
DES14X1oes-FUV.fits.gz,pre_disc,16,16,0
DES14X1oes-NUV.fits.gz,pre_disc,16,16,0
DES14X2ags-FUV.fits.gz,single,1,1,0
DES14X2ags-NUV.fits.gz,pre_disc,2,2,0
DES14X2bnz-FUV.fits.gz,single,1,1,0
DES14X2bnz-NUV.fits.gz,pre_disc,2,2,0
DES14X2byo-FUV.fits.gz,single,1,1,0
DES14X2byo-NUV.fits.gz,pre_disc,3,3,0
DES14X2dl-FUV.fits.gz,single,1,1,0
DES14X2dl-NUV.fits.gz,pre_disc,3,3,0
DES14X2rao-FUV.fits.gz,single,1,1,0
DES14X2rao-NUV.fits.gz,pre_post_disc,2,nan,nan
DES14X2raq-FUV.fits.gz,pre_disc,27,27,0
DES14X2raq-NUV.fits.gz,pre_disc,52,52,0
DES14X3aeb-FUV.fits.gz,pre_disc,114,114,0
DES14X3aeb-NUV.fits.gz,pre_disc,171,171,0
DES14X3ajv-FUV.fits.gz,pre_disc,131,131,0
DES14X3ajv-NUV.fits.gz,pre_disc,182,182,0
DES14X3amb-FUV.fits.gz,pre_post_disc,39,7,32
DES14X3amb-NUV.fits.gz,pre_post_disc,64,7,57
DES14X3jmx-FUV.fits.gz,post_disc,3,nan,nan
DES14X3jmx-NUV.fits.gz,post_disc,27,nan,nan
Eagle-FUV.fits.gz,pre_post_disc,82,44,38
Eagle-NUV.fits.gz,pre_post_disc,131,77,54
Emma-FUV.fits.gz,post_disc,2,0,2
Emma-NUV.fits.gz,pre_post_disc,38,36,2
EQ_J142347.6+240433.3-FUV.fits.gz,single,1,nan,nan
EQ_J142347.6+240433.3-NUV.fits.gz,unknown,3,nan,nan
ESSENCEc023-FUV.fits.gz,post_disc,5,0,5
ESSENCEc023-NUV.fits.gz,post_disc,5,0,5
ESSENCEd009-FUV.fits.gz,post_disc,8,0,8
ESSENCEd009-NUV.fits.gz,post_disc,14,0,14
ESSENCEf123-FUV.fits.gz,pre_disc,3,3,0
ESSENCEf123-NUV.fits.gz,pre_disc,10,10,0
ESSENCEg097-FUV.fits.gz,pre_disc,7,7,0
ESSENCEg097-NUV.fits.gz,pre_disc,16,16,0
ESSENCEg142-FUV.fits.gz,pre_post_disc,6,2,4
ESSENCEg142-NUV.fits.gz,pre_post_disc,10,2,8
ESSENCEg225-FUV.fits.gz,pre_disc,4,4,0
ESSENCEg225-NUV.fits.gz,pre_disc,13,13,0
ESSENCEg230-FUV.fits.gz,pre_disc,5,5,0
ESSENCEg230-NUV.fits.gz,pre_post_disc,14,13,1
ESSENCEh300-FUV.fits.gz,post_disc,3,nan,nan
ESSENCEh300-NUV.fits.gz,post_disc,8,nan,nan
ESSENCEk411-FUV.fits.gz,pre_post_disc,8,6,2
ESSENCEk411-NUV.fits.gz,pre_post_disc,14,6,8
ESSENCEk467-FUV.fits.gz,pre_disc,3,nan,nan
ESSENCEk467-NUV.fits.gz,pre_disc,10,nan,nan
ESSENCEk490-FUV.fits.gz,post_disc,5,0,5
ESSENCEk490-NUV.fits.gz,post_disc,12,0,12
ESSENCEm006-NUV.fits.gz,unknown,9,nan,nan
ESSENCEm022-FUV.fits.gz,post_disc,9,nan,nan
ESSENCEm022-NUV.fits.gz,post_disc,13,nan,nan
ESSENCEm026-FUV.fits.gz,pre_post_disc,8,6,2
ESSENCEm026-NUV.fits.gz,pre_post_disc,18,6,12
ESSENCEm027-FUV.fits.gz,pre_post_disc,3,nan,nan
ESSENCEm027-NUV.fits.gz,pre_post_disc,11,nan,nan
ESSENCEm032-FUV.fits.gz,pre_post_disc,8,4,4
ESSENCEm032-NUV.fits.gz,pre_post_disc,13,4,9
ESSENCEm034-FUV.fits.gz,post_disc,2,0,2
ESSENCEm034-NUV.fits.gz,post_disc,10,0,10
ESSENCEm039-FUV.fits.gz,post_disc,2,0,2
ESSENCEm039-NUV.fits.gz,post_disc,10,0,10
ESSENCEm057-FUV.fits.gz,single,1,0,1
ESSENCEm057-NUV.fits.gz,post_disc,56,0,56
ESSENCEm070-FUV.fits.gz,unknown,7,nan,nan
ESSENCEm070-NUV.fits.gz,unknown,12,nan,nan
ESSENCEm075-FUV.fits.gz,pre_post_disc,4,2,2
ESSENCEm075-NUV.fits.gz,pre_post_disc,12,2,10
ESSENCEm138-FUV.fits.gz,pre_post_disc,4,nan,nan
ESSENCEm138-NUV.fits.gz,pre_post_disc,8,nan,nan
ESSENCEm193-FUV.fits.gz,post_disc,2,nan,nan
