name,objname,ra,dec,z,z_err,v_helio,v_helio_err,h_dist,h_dist_err,z_indep_dist,type,morph,a_v,a_k,posn_ref,z_ref,sep,offset,host,galex_ra,galex_dec,morph_ref
ESSENCEs380,ESSENCE s380,02h09m00.0480s,-05d07m41.787s,0.6355,0.0002,190518.13375,59.9585,2717.99,190.26,,SN,,0.057,0.006,2016ApJS..224....3N,2016ApJS..224....3N,0.0,0.0,,2h09m00.048s,-5d07m41.787s,
ESSENCEx039,ESSENCE x039,02h29m18.0630s,-07d39m01.433s,0.7709999999999999,0.004,231140.0175,1199.17,3298.69,231.54,,SN,,0.08199999999999999,0.009000000000000001,2016ApJS..224....3N,2016ApJS..224....3N,0.0,0.0,,2h29m18.063s,-7d39m01.433s,
ESSENCEx093,WISEA J022943.15-090656.7,02h29m43.136s,-09d06m56.89s,,,,,,,,G,,0.091,0.01,2007SDSS6.C...0000:,,0.033,,,2h29m43.134s,-9d06m54.931s,
Eagle,ACS-GC 50001019,12h37m20.870s,+62d13m40.10s,1.01891,0.00033,305461.576175,98.931525,4365.45,305.58,13.0,G,,0.033,0.004,2002AJ....123.1163B,2004AJ....127.3121W,0.027000000000000003,48.27647791404232,GOODS J123720.85+621340.7,12h37m20.75s,62d13m41.5s,
Emma,FLX J143430.10+342657.0,14h34m30.150s,+34d26m57.20s,1.23,0.01,368744.775,2997.925,5270.17,371.39,1.0,G,,0.055999999999999994,0.006,2006ApJ...651..791B,2006ApJ...651..791B,0.003,4.803350498680718,FLX J143430.10+342657.0,14h34m30.139s,34d26m57.29s,
Frida,SCP 05D00 HOST,02h21m42.040s,-03d21m54.10s,1.0132,,303749.761,,4335.77,303.5,2.0,G,,0.069,0.008,2008MNRAS.383..102A,2008MNRAS.383..102A,0.018000000000000002,22.204616279005126,[ADP2008] J022142.04-032154.1,2h21m42.066s,-3d21m53.12s,
Gabi,S-CANDELS J123613.82+621207.1 ,12h36m13.83s,+62d12m07.6s,1.12,,335767.6,,4798.4,335.89,12.0,G,,0.032,0.003,2007ApJ...659...98R,2007ApJ...659...98R,0.0,0.930842267959631,[RSC2007] J123613.83+621207.56,12h36m13.83s,62d12m07.56s,
HST04Man,ACS-GC 50013390,12h36m34.880s,+62d15m49.10s,0.85454,0.00033,256184.68295,98.931525,3661.49,256.31,10.0,G,,0.033,0.004,2002AJ....123.1163B,2004AJ....127.3121W,0.005,8.358721436341296,GOODS J123634.92+621549.1,12h36m34.853s,62d15m48.86s,
HST04Sas,S-CANDELS J123654.11+620821.7 ,12h36m54.150s,+62d08m21.80s,0.44643,0.00033,133836.365775,98.931525,1913.67,133.96,11.0,G,,0.031,0.003,2004ApJ...617..240K,2004AJ....127.3121W,0.006999999999999999,5.153916196927102,GOODS J123654.15+620821.8,12h36m54.125s,62d08m22.21s,
HST05Dic,SDSS J123549.61+621011.9,12h35m49.613s,+62d10m11.93s,0.6383,0.0,191357.55275,0.0,2735.4,191.48,,G,,0.031,0.003,2007SDSS6.C...0000:,2014PrivC.U..L....B,0.001,0.7172752756722679,,12h35m49.61s,62d10m11.96s,
HST05Fer,[RSC2007] J123625.10+621523.84,12h36m25.10s,+62d15m23.8s,1.02,,305788.35,,4370.12,305.91,10.0,G,,0.032,0.004,2007ApJ...659...98R,2007ApJ...659...98R,0.0,0.8477313506354065,[RSC2007] J123625.10+621523.84,12h36m25.1s,62d15m23.84s,
