Name,Disc. Date,mmax,Host Name,R.A.,Dec.,z,Type,Phot.,Spec.,Radio,X-ray,NUVexpt,FUVexpt
PTF10ygr,2010/10/09,19.59,,"00:32:07.76,00:32:07.7592","+20:45:21.8,+20:45:21.96",0.12,Ia,8.0,2.0,,,210.0,210.0
SN2005hn,2005/09/23,19.6,SDSS J15704.18-001324.4,"21:57:04.080,21:57:04.2,21:57:04.32,21:57:04.25","-00:13:24.45,-00:13:24,-00:13:24.528,-00:13:24.5532,-00:13:24.7116,-00:13:24.5","0.1076,0.108225",Ia,63.0,,,,1482.0,508.0
OGLE-2013-SN-096,2013/10/19,19.6,,05:39:38.80,"-60:39:32.1,-60:39:32.19",0.11,Ia,31.0,1.0,,,184.0,184.0
OGLE-2013-SN-080,2013/09/30,19.6,,01:02:33.24,-76:27:24.2,0.103,Ia,26.0,1.0,,,1615.0,136.0
SN1996ag,1996/06/12,19.6,Abell 3809,"21:46:50.47,21:46:50.470","-43:41:50.4,-43:41:50.39","0.14,0.14",Ia?,24.0,,,,211.0,211.0
SN2003bi,2003/02/22,19.6,2MASX J10440556+1231293,"10:44:05.97,10:44:05.969,10:44:05.978","+12:31:34.7,+12:31:34.72,+12:31:34.79",0.092284,Ia,2.0,1.0,,,0.0,0.0
SN1999C,1999/01/14,19.6,WOOTS J100851.03+711042.9,"10:08:51.21,10:08:51.209","+71:10:42.9,+71:10:42.89",0.026318,Ia,1.0,2.0,,,0.0,0.0
SN1999eo,1999/10/02,19.6,A024013+0454,"02:40:13.20,02:40:13.200","+04:54:53.3,+04:54:53.32","0.08,0.08",Ia,1.0,,,,216.0,216.0
SN2000bt,2000/03/26,19.6,A101618-0544,"10:16:18.06,10:16:18.060","-05:44:47.3,-05:44:47.29","0.04,0.04",Ia,1.0,,,,4715.0,4715.0
SN2004cp,2004/05/24,19.6,A154024+3251,"15:40:24.75,15:40:24.72,15:40:24.76","+32:51:57.2,+32:51:57.24","0.054,0.054",Ia,1.0,,,,170.0,170.0
SN2004id,2004/10/16,19.6,A000629-0028,00:06:29.64,-00:28:22.3,"0.144,0.14,0.144",Ia,1.0,,,,3284.0,3284.0
SN2006il,2006/09/13,19.6,A004038-0306,00:40:38.15,-03:06:48.1,"0.12,0.12",Ia,1.0,,,,0.0,0.0
SN2006qx,2006/10/22,19.6,A010243+2741,01:02:43.23,+27:41:54.6,"0.12,0.12",Ia,1.0,,,,666.0,666.0
SN2006ri,2006/11/06,19.6,A021557-2154,02:15:57.44,-21:54:19.4,"0.09,0.09",Ia,1.0,,,,0.0,0.0
SN2007dg,2007/04/18,19.6,A104015+1816,10:40:15.34,+18:16:41.0,"0.1,0.1",Ia,1.0,,,,0.0,0.0
SN2007dm,2007/04/22,19.6,A150255+0712,15:02:55.12,+07:12:05.6,0.08,Ia,1.0,,,,1868.0,1868.0
SN2007dx,2007/05/09,19.6,A125112-0901,12:51:12.75,-09:01:45.2,"0.12,0.12",Ia,1.0,,,,819.0,819.0
SN2007en,2007/06/05,19.6,A161843+0302,16:18:43.84,+03:02:50.1,"0.12,0.12",Ia,1.0,,,,1905.0,108.0
SN2007s1,2007/10/21,19.6,2MASX J00150006+1619596,"00:15:00.089,00:14:59.83","+16:19:59.35,+16:20:06.0","0.0274,0.0276",Ia,1.0,2.0,,,925.0,925.0
SN2009nt,2009/11/20,19.6,A231103+2026,23:11:03.12,+20:26:19.6,"0.1,0.1",Ia,1.0,,,,214.0,100.0
SNF20080514-000,2008/05/14,19.6,,15:03:54.33,+33:28:59.1,0.07619,Ia,1.0,,,,171.0,171.0
SNF20080516-021,2008/05/16,19.6,,"11:25:57.858,11:25:58.21","+56:18:22.51,+56:18:18.4",0.07286,Ia,1.0,,,,0.0,0.0
SNF20080707-012,2008/07/07,19.6,,22:42:40.96,+22:15:20.9,0.09786,Ia,1.0,,,,1751.0,181.0
SNF20080714-008,2008/07/14,19.6,,23:51:37.82,+20:08:24.6,0.08472,Ia,1.0,,,,179.0,179.0
