"Name","Disc. Date","Max Date","mmax","Host Name","R.A.","Dec.","z","Type","Phot.","Spec.","References"
"SN2009hd","2009/07/02","2009/07/06","14.66","NGC 3627","11:20:16.99,11:20:16.96","+12:58:46.3,+12:58:46.6","0.0024,0.0024","II","54","1","2011ApJ...742....6E,2014Ap&SS.354...89B,2012A&A...538A.120L,2009CBET.1867....1M,2016A&A...594A..13P"
"SN2009ha","2009/07/02","2009/07/01","16.3","MCG -01-07-24","02:36:58.21","-05:20:43.2","0.0147","Ib","1","1","2012A&A...538A.120L,2009CBET.1865....1M,2019MNRAS.482.1545S,2008yCat....1.2024B,2016A&A...594A..13P"
"SN2009he","2009/07/03","2009/07/02","17.5","UGC 10361","16:22:12.33","+57:16:22.5","0.0306","Ia","1","","2009CBET.1868....1P,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2009hf","2009/07/09","2009/07/08","17.3","NGC 175","00:37:21.79","-19:56:42.2","0.013,0.013","II","1","","2009CBET.1869....1M,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2009hh","2009/07/10","2009/07/09","16","NGC 1301","03:20:34.73","-18:42:54.4","0.0132","Ic","1","","2012A&A...538A.120L,2009CBET.1871....1P,2008yCat....1.2024B,2016A&A...594A..13P,2011ApJ...737..103S"
"SN2009hi","2009/07/10","2009/07/04","17.7","NGC 7647","23:23:57.450,23:23:56.24","+16:46:38.08,+16:46:30.0","0.041","Ia","1","","2012A&A...538A.120L,2009CBET.1872....1N,2013ApJ...770..107C,2016A&A...594A..13P,2003yCat.2246....0C"
"SN2009hk","2009/07/11","2009/07/10","17","MCG -04-48-26","20:38:37.42","-25:06:56.0","0.018","Ia","1","","2012A&A...538A.120L,2009CBET.1875....1Y,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2009hl","2009/07/11","2009/07/16","17.8","A173110+3625","17:31:10.14","+36:25:40.1","0.0494","Ia","1","","2009CBET.1879....2S,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2012PASP..124..668Y"
"PTF09atu","2009/07/14","2009/08/18","19.91","","16:30:24.55,16:30:24.553","+23:38:25.0,+23:38:25.43","0.5015","SLSN-I","113","9","2012PASP..124..668Y,2017arXiv170801623D,2018ApJ...855....2Q,2011Natur.474..484Q,2016ApJ...830...13P"
"SN2009hm","2009/07/17","2009/07/16","14.7","NGC 7083","21:35:44.32,21:35:44.44","-63:54:23.2,-63:54:23.6","0.0103","Ib","1","","2012A&A...538A.120L,2009CBET.1880....4M,2008yCat....1.2024B,2016A&A...594A..13P,2011ApJ...737..103S"
"SN2009hw","2009/07/17","2009/07/16","19.1","A192034+4333","19:20:34.05","+43:33:45.6","0.06,0.06","Ia","1","","2009CBET.1894....1Y,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2009hx","2009/07/17","2009/07/16","22.6","A224912+1120","22:49:12.74","+11:20:14.4","0.14,0.14","Ia","1","","2012A&A...538A.120L,2009CBET.1894....1Y,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2009ht","2009/07/19","2009/07/18","17.3","A005646-0135","00:56:46.89","-01:35:51.3","0.046,0.044","Ia","1","","2009CBET.1894....1Y,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2009ia","2009/07/22","2009/07/21","17.8","A172611+1726","17:26:11.20,17:26:11.25","+59:18:31.0,+59:18:31.3","0.027,0.027","Ia","1","","2009CBET.1901....1V,2012A&A...538A.120L,2016A&A...594A..13P,2003yCat.2246....0C,2011ApJ...737..103S"
"SN2009hn","2009/07/24","2009/07/23","17.5","UGC 2005","02:32:00.31","+01:14:53.5","0.022,0.022","Ia","18","","2009CBET.1886....1N,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2009ie","2009/07/24","2009/07/23","19.5","NGC 1093","02:48:13.90","+34:24:52.8","0.0176","II","1","","2009CBET.1915....2F,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2009ho","2009/07/25","2009/07/24","18.4","UGC 1941","02:28:33.34","+37:57:04.1","","Ia","1","","2009CBET.1886....1N,2012A&A...538A.120L,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2009hp","2009/07/26","2009/07/25","16.5","MCG +01-08-30","02:58:23.96,02:58:23.938","+06:35:35.1,+06:35:34.64","0.0211,0.0204,0.0211","Ia","10","","2012A&A...538A.120L,2009CBET.1888....1C,2012ApJS..200...12H,2016A&A...594A..13P,2008yCat....1.2024B"
"SN2009hs","2009/07/28","2009/08/09","17.14","NGC 6521","17:55:50.93","+62:35:59.1","0.028","Ia","99","","2012A&A...538A.120L,2009CBET.1892....1C,2013ApJ...770..107C,2016A&A...594A..13P,2011ApJ...737..103S"
"SN2009hr","2009/07/29","2009/07/28","16.1","A004034+0332","00:40:34.13","+03:32:29.1","0.017,0.017","Ia","1","","2009CBET.1891....1D,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S"
"PTF09dqt","2009/07/30","2009/08/21","19.42","","14:28:28.83,14:28:28.8","+61:09:37.3,+61:09:37.44","0.113","Ia","7","1","2014MNRAS.444.3258M,2012PASP..124..668Y,2014arXiv1408.1430M,2016A&A...594A..13P,2011ApJ...737..103S"
"SN2009hq","2009/07/30","2009/07/29","15.8","NGC 4152","12:10:38.03","+16:02:21.1","0.0722","II","1","","2012A&A...538A.120L,2009CBET.1890....1M,2008yCat....1.2024B,2016A&A...594A..13P,2011ApJ...737..103S"
"SN2009is","2009/07/30","2009/07/29","16.3","A025707+1801","02:57:07.15","+18:01:09.2","","Ia","1","","2009CBET.1932....1C,2012A&A...538A.120L,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2009jh","2009/08/02","2009/08/07","18.63","A144910+2925","14:49:10.09,14:49:10.08","+29:25:10.4,+29:25:11.4","0.3499,0.3502","SLSN-I","24","8","2012PASP..124..668Y,2018ApJ...855....2Q,2016ApJ...830...13P,2011Natur.474..484Q,2017arXiv170801623D"
"SN2009hy","2009/08/02","2009/08/01","18.2","NGC 7244","22:16:27.02","+16:28:13.0","0.0252","Ic","1","1","2009CBET.1895....1K,2019MNRAS.482.1545S,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B"
"SN2009hz","2009/08/03","2009/08/03","17.48","UGC 11499","19:56:50.61","+49:53:15.7","0.0253","II","51","2","2009CBET.1897....1K,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2009ic","2009/08/05","2009/08/04","14.9","MCG -01-13-33","04:53:18.03","-03:00:59.6","0.0153","Ia","1","","2009CBET.1904....1M,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2009ib","2009/08/06","2009/10/24","14.43","NGC 1559","04:17:40.09,04:17:39.92","-62:46:40.3,-62:46:38.7","0.00448,0.00482,0.00534,0.00435","II P","379","12","2015MNRAS.450.3137T,2012A&A...538A.120L,2009CBET.1902....2S,2016A&A...594A..13P,2003yCat.2246....0C"
"PTF09cnd","2009/08/07","2009/09/10","17.08","","16:12:08.94,16:12:08.96,16:12:08.839","+51:29:16.1,+51:29:16.0,+51:29:16.01","0.2584","SLSN-I","220","17","2012PASP..124..668Y,2017arXiv170801623D,2018ApJ...855....2Q,2011Natur.474..484Q,2014Ap&SS.354...89B"
"PTF09djc","2009/08/10","2009/08/24","16.98","","17:46:55.900,17:46:55.92","+59:12:04.86,+59:12:05.04","0.0337","Ia","19","1","2014MNRAS.444.3258M,2012PASP..124..668Y,2014arXiv1408.1430M,2016A&A...594A..13P,2011ApJ...737..103S"
"PTF09dhx","2009/08/11","2009/08/23","18.93","","22:26:22.850,22:26:22.8","+10:49:34.25,+10:49:34.32","0.087","Ia","13","1","2014MNRAS.444.3258M,2012PASP..124..668Y,2014arXiv1408.1430M,2016A&A...594A..13P,2011ApJ...737..103S"
"SN2009id","2009/08/11","2009/08/10","16.6","ESO 282-G32","19:16:34.25","-46:41:20.3","0.0177","II","1","","2009CBET.1905....1M,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2009iq","2009/08/13","2009/08/12","18.1","UGC 2308","02:50:11.61","+47:03:07.0","0.0276","II","1","","2009CBET.1929....2S,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2009jj","2009/08/16","2009/08/15","19.2","A222707+1714","22:27:07.86,22:27:07.85","+17:14:36.4,+17:14:36.6","0.107,0.11,0.107","Ia","1","","2009CBET.1961....6G,2012A&A...538A.120L,2016A&A...594A..13P,2003yCat.2246....0C,2011ApJ...737..103S"
"PTF09dlc","2009/08/17","2009/09/06","18.32","","21:46:30.00,21:46:30,21:46:30.02,21:46:30.103","+06:25:06.9,+06:25:06.888,+06:25:07.3,+06:25:09.2","0.0672,0.0624,0.0666,0.0684","Ia","19","6","2012PASP..124..668Y,2014arXiv1408.1430M,2014MNRAS.444.3258M,2014MNRAS.438.1391P,2013MNRAS.432L..90B"
"PTF09dnp","2009/08/18","2009/09/07","17.15","","15:19:25.360,15:19:25.44,15:19:25.34,15:19:24.432","+49:30:04.83,+49:30:05.04,+49:30:05.0,+49:29:56.4","0.037559","Ia","13","5","2014MNRAS.444.3258M,2012PASP..124..668Y,2014arXiv1408.1430M,2014MNRAS.438.1391P,2013ApJ...770..107C"
"PSN J03320724+4747396","2009/08/18","2009/08/17","17.6","UGC 2773","03:32:07.24","+47:47:39.6","0.00099","II/LBV","1","","2009CBET.1931....1B,2016A&A...594A..13P,2011ApJ...737..103S"
"SN2009if","2009/08/18","2009/08/17","17.6","IC 2070","04:24:36.73","-57:59:06.8","0.0234","Ib/c","1","","2009CBET.1916....1M,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2009ig","2009/08/20","2009/09/06","13","NGC 1015","02:38:11.62,02:38:11.613,02:38:11.616,02:38:11.61","-01:18:45.3,-01:18:45.52,-01:18:45.252,-01:18:45.1","0.00829,0.00885,0.00877","Ia","584","18","2012ApJS..200...12H,2014Ap&SS.354...89B,2012ApJ...749...18B,2012ApJ...744...38F,2016PASP..128...961"
"SN2009ij","2009/08/20","2009/08/19","17.6","UGC 10923","17:19:35.27","+86:44:30.5","0.0264","II","1","","2009CBET.1922....1B,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2009ih","2009/08/21","2009/08/20","17.3","MCG +07-33-12","15:55:31.05","+41:56:54.0","0.0329","Ia","1","","2009CBET.1919....1B,2012A&A...538A.120L,2016A&A...594A..13P,2008yCat....1.2024B,2011ApJ...737..103S"
"SN2009ii","2009/08/21","2009/08/20","18.5","UGC 3627","07:01:05.58","+51:15:50.2","0.0209","II","1","","2012A&A...538A.120L,2009CBET.1920....1B,2008yCat....1.2024B,2016A&A...594A..13P,2011ApJ...737..103S"
"SN2009iv","2009/08/21","2009/08/20","17.7","A025814+0558","02:58:14.21,02:58:14.19","+05:58:19.0,+05:58:19.3","0.023,0.023","Ia","1","","2009CBET.1940....2C,2012A&A...538A.120L,2016A&A...594A..13P,2003yCat.2246....0C,2011ApJ...737..103S"
