,Name,Disc. Date,Band,R.A.,Dec.,Total Epochs,Epochs Pre-SN,Epochs Post-SN,First Epoch,Last Epoch,Next Epoch,File
69,ASASSN-14kd,2014-11-12,NUV,22h53m24.95s,4d47m57.3s,2,2,0,3745,-3745,nan,ASASSN-14kd-NUV.fits.gz
70,ASASSN-14kr,2014-11-23,FUV,12h54m13.15s,-7d38m57.46s,1,1,0,2774,-2774,nan,ASASSN-14kr-FUV.fits.gz
71,ASASSN-14kr,2014-11-23,NUV,12h54m13.15s,-7d38m57.46s,1,1,0,2774,-2774,nan,ASASSN-14kr-NUV.fits.gz
72,ASASSN-14lo,2014-12-08,FUV,11h51m53.19s,18d32m31s,1,1,0,2815,-2815,nan,ASASSN-14lo-FUV.fits.gz
73,ASASSN-14lo,2014-12-08,NUV,11h51m53.19s,18d32m31s,3,3,0,3541,-2815,nan,ASASSN-14lo-NUV.fits.gz
74,ASASSN-14lp,2014-12-09,FUV,12h45m09.1s,-0d27m32.4s,7,7,0,3895,-2038,nan,ASASSN-14lp-FUV.fits.gz
75,ASASSN-14lp,2014-12-09,NUV,12h45m09.1s,-0d27m32.4s,7,7,0,3895,-2038,nan,ASASSN-14lp-NUV.fits.gz
76,ASASSN-14lq,2014-12-09,FUV,22h57m19.41s,-20d58m00.8s,2,2,0,4067,-3360,nan,ASASSN-14lq-FUV.fits.gz
77,ASASSN-14lq,2014-12-09,NUV,22h57m19.41s,-20d58m00.8s,4,4,0,4067,-1147,nan,ASASSN-14lq-NUV.fits.gz
78,ASASSN-14lt,2014-12-10,FUV,3h11m02.54s,-13d06m38.76s,6,6,0,2925,-2223,nan,ASASSN-14lt-FUV.fits.gz
79,ASASSN-14lt,2014-12-10,NUV,3h11m02.54s,-13d06m38.76s,6,6,0,2925,-2223,nan,ASASSN-14lt-NUV.fits.gz
80,ASASSN-14lu,2014-12-09,FUV,14h10m39.52s,-2d40m56s,2,2,0,3860,-2429,nan,ASASSN-14lu-FUV.fits.gz
81,ASASSN-14lu,2014-12-09,NUV,14h10m39.52s,-2d40m56s,2,2,0,3860,-2429,nan,ASASSN-14lu-NUV.fits.gz
82,ASASSN-14lv,2014-12-12,FUV,23h32m07.37s,-41d16m11.76s,2,2,0,2676,-2666,nan,ASASSN-14lv-FUV.fits.gz
83,ASASSN-14lv,2014-12-12,NUV,23h32m07.37s,-41d16m11.76s,2,2,0,2676,-2666,nan,ASASSN-14lv-NUV.fits.gz
84,ASASSN-14lw,2014-12-12,FUV,1h06m49.17s,-46d58m59.96s,2,2,0,2631,-2630,nan,ASASSN-14lw-FUV.fits.gz
85,ASASSN-14lw,2014-12-12,NUV,1h06m49.17s,-46d58m59.96s,2,2,0,2631,-2630,nan,ASASSN-14lw-NUV.fits.gz
86,ASASSN-14mf,2014-12-16,NUV,0h04m54.459s,-32d26m14.63s,5,5,0,3367,-2951,nan,ASASSN-14mf-NUV.fits.gz
87,AT2014gd,2014-11-05,NUV,1h13m30.63s,49d36m34.9s,1,1,0,1131,-1131,nan,AT2014gd-NUV.fits.gz
